,,,Subdir,T2,Non-fat supressed T1,Pre-contrast,Post 1,Post 2,Post 3,Post 4,MIP,Other,??
,,,ax_3d_dyn_500,,,x,,,,,,,
,,,ax_3d_dyn_600,,,x,,,,,,,
,,,ax_3d_dyn_700,,,x,,,,,,,
,,,ax_3d_dyn_900,,,x,,,,,,,
,,,ax_3d_dyn_MP_500,,,x,,,,,,,
,,,ax_3d_dyn_MP_600,,,x,,,,,,,
,,,ax_3d_dyn_MP_700,,,x,,,,,,,
,,,ax_3d_dyn_MP_800,,,x,,,,,,,
,,,ax_3d_dyn_MP_900,,,x,,,,,,,
,,,ax_3d_dyn_PURE_6,,,x,,,,,,,
,,,ax_dyn_5,,,x,,,,,,,
,,,ax_dyn_7,,,x,,,,,,,
,,,ax_dyn_8,,,x,,,,,,,
,,,ax_dyn_9,,,x,,,,,,,
,,,ax_dyn_post_10,,,,x,x,x,x,,,
,,,ax_dyn_post_13,,,,x,x,x,x,,,
,,,ax_dyn_post_3_13,,,,x,x,x,x,,,
,,,ax_dyn_post_4_19,,,,x,x,x,x,,,
,,,ax_dyn_post_7,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_10,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_12,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_14,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_16,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_6,,,,x,x,x,x,,,
,,,ax_dynamic_1pre_5post_7,,,,x,x,x,x,,,
,,,ax_dynamic_500,,,x,,,,,,,
,,,ax_dynamic_600,,,x,,,,,,,
,,,ax_dynamic_700,,,x,,,,,,,
,,,ax_dynamic_800,,,x,,,,,,,
,,,ax_t1_+c_10,,x,,,,,,,,
,,,ax_t1_+c_12,,x,,,,,,,,
,,,ax_t1_2,,x,,,,,,,,
,,,ax_t1_2mm_3,,x,,,,,,,,
,,,ax_t1_2mm_4,,x,,,,,,,,
,,,ax_t1_2mm_5,,x,,,,,,,,
,,,ax_t1_3,,x,,,,,,,,
,,,ax_t1_3mm_3,,x,,,,,,,,
,,,ax_t1_4,,x,,,,,,,,
,,,ax_t1_5,,x,,,,,,,,
,,,ax_t1_6,,x,,,,,,,,
,,,ax_t1_7,,x,,,,,,,,
,,,ax_t1_post_5,,,,,,,,,x,
,,,ax_t1_tse_+c_17,x,,,,,,,,,
,,,ax_t1_tse_+c_18,x,,,,,,,,,
,,,ax_t1_tse_+c_21,x,,,,,,,,,
,,,ax_t1_tse_+c_22,x,,,,,,,,,
,,,ax_t1_tse_+c_23,x,,,,,,,,,
,,,ax_t1_tse_3,x,,,,,,,,,
,,,ax_views_10,,,,,,,,,x,
,,,ax_views_11,,,,,,,,,x,
,,,ax_views_12,,,,,,,,,x,
