Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-10a-5p	30.85792923	30.83211517	29.9942646	31.22345161	31.45986176	33.0617485	30.11017418	32.35962296	32.52898407	31.10684586	33.30101013	32.64686966	32.35568237	33.29787445	30.25914192
miR-125a-5p	26.44767952	27.06529045	29.43314934	25.73731422	27.12426186	25.72902298	29.8496685	27.33426094	24.62939644	26.54245186	25.00089645	24.68492699	25.81424141	26.57387733	29.83132172
miR-128-3p	31.06102943	36.65023804	33.40153503	29.23106766	34.70464325	29.51959801	37.23088074	NA	28.36505318	31.83053398	28.58781624	28.45321655	29.48957062	31.1635685	NA
miR-129-5p	34.25908279	33.21263885	34.80541611	34.06693268	34.28861618	34.40818024	35.37447739	34.83314514	34.2439003	32.91316986	NA	32.30029297	32.93509293	32.74746704	35.94949341
miR-129-2-3p	29.1999855	29.09856987	33.26762009	28.36654472	29.22365952	28.48498535	34.04413986	29.09644318	28.10020828	29.00749016	28.19763565	27.88122177	28.45794868	28.98772621	33.72659302
miR-132-3p	28.94410324	31.69297218	31.81748772	27.46128464	32.05918503	27.76412964	33.05711365	31.77353477	26.45689583	28.72323227	26.71580315	26.67707443	27.58724785	28.72573662	34.84627914
miR-137	32.90862656	35.36981583	NA	30.60460854	34.69145203	31.66159821	NA	34.41181946	29.71341324	32.06111145	30.25259972	29.77232933	31.1486969	31.57826233	38.25428009
miR-150-5p	27.81341934	27.81007767	27.62087059	27.61730766	28.39169312	27.52300835	27.82246017	28.31686401	27.12352371	27.8929615	27.27698517	27.32821465	27.42854309	27.86239052	28.04735565
miR-152-3p	31.07133293	30.17965508	31.05623436	31.37685204	30.53556252	31.42846298	31.97524071	30.41936874	32.23840714	31.31070328	32.3020401	32.44725037	31.53553391	31.60157967	31.72291183
miR-183-5p	32.59091949	32.12879944	32.92669678	32.4178009	33.75116348	34.64787674	35.10433197	34.57472992	32.71192551	32.77534485	NA	36.98806381	32.69371033	33.01574326	NA
miR-187-3p	33.53878784	34.12157822	34.67039871	32.20973587	36.1097374	32.37269211	34.47953033	34.57788467	31.16000366	33.31760025	31.24326706	31.19106293	32.19007492	33.13183975	NA
