Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	17919	13868	8555	23243	11927	14982	9294	11174	42390	22756	42544	38114	44217	27766	7250
let-7b-5p	8550	2298	3078	12922	2165	9769	3338	1986	25369	9857	22044	22159	15933	9224	1998
let-7c	1301	282	793	2023	179	1246	812	237	4120	1558	3157	2945	4457	2256	736
let-7d-5p	1034	269	455	1645	156	981	426	261	3559	1228	2426	2031	1894	1324	340
let-7e-5p	2356	1602	395	2697	1259	1037	360	1372	4844	2656	4001	3149	3149	2355	194
let-7f-5p	338	321	304	641	190	367	388	199	988	460	755	1008	817	442	231
let-7g-5p	7515	2913	6657	9528	2406	3953	6958	2438	18208	8372	16861	13847	13103	8630	4587
let-7i-5p	1127	617	382	1435	321	1063	366	485	2986	1232	2008	1859	1528	939	223
miR-1	65	75	13	39	54	15	29	70	38	80	29	31	81	97	13
miR-100-5p	5309	5623	1298	4088	5895	1595	1298	5582	4794	5650	3551	3807	2593	3396	565
miR-101-3p	24	21	10	12	12	11	16	23	20	20	8	12	14	13	5
miR-103a-3p	13	1	9	11	3	4	7	9	5	12	5	10	5	9	4
miR-105-5p	18	22	4	22	23	26	9	17	31	19	18	25	19	22	3
miR-106a-5p	360	437	457	304	521	235	484	340	213	445	181	161	349	323	206
miR-106b-5p	486	531	204	320	537	325	184	454	367	501	278	201	205	275	98
miR-107	889	321	557	1156	336	266	584	343	2019	937	1608	1019	609	618	291
miR-10a-5p	110	97	179	82	63	46	149	104	34	113	34	29	95	96	122
miR-10b-5p	37	63	10	17	75	12	9	76	8	54	8	18	20	34	5
miR-1178	16	18	8	11	18	11	6	17	10	18	5	4	12	16	5
miR-1179	14	12	3	14	8	8	8	5	4	8	5	4	6	8	7
miR-1180	242	35	30	482	45	329	26	35	893	292	741	815	339	214	25
miR-1181	9	14	4	3	5	9	1	9	4	11	6	13	4	4	2
miR-1182	1	3	6	4	5	2	9	5	6	7	6	1	4	7	3
miR-1183	13	17	15	17	13	8	16	11	14	17	12	13	12	12	9
miR-1184	4	2	1	4	3	3	2	4	4	4	4	2	2	3	1
miR-1185-5p	25	22	12	18	18	10	11	14	28	20	30	22	16	13	5
miR-1193	5	8	3	6	9	9	7	10	6	9	6	7	6	5	2
miR-1197	12	21	5	16	13	10	4	16	14	21	12	12	9	13	3
miR-1200	1	4	5	4	5	6	9	4	6	6	2	1	13	18	4
miR-1202	13	12	6	15	15	6	5	13	8	16	2	9	10	6	5
miR-1203	6	4	7	8	6	2	5	2	6	9	1	4	5	2	1
miR-1204	2	6	2	4	8	1	7	6	9	8	7	6	8	4	3
miR-1205	4	8	5	7	7	11	5	5	4	3	2	1	12	13	6
miR-1206	14	15	4	5	7	11	5	15	9	17	5	6	11	18	2
miR-1207-3p	1	5	5	6	4	1	6	3	6	5	1	3	1	2	2
miR-1208	5	10	4	8	15	9	13	9	2	12	4	4	3	9	1
miR-122-5p	19612	12	96276	19484	7	14830	78291	10	9	22406	7	14	11907	16719	47864
miR-1224-3p	3	7	2	3	3	2	3	4	8	5	1	6	1	2	1
miR-1224-5p	17	14	10	16	9	14	15	9	13	17	4	10	10	11	3
miR-1225-3p	7	9	7	7	19	4	6	7	8	7	7	12	2	3	4
miR-1225-5p	5	5	2	11	7	6	5	10	6	5	5	7	5	7	5
miR-1226-3p	13	20	10	14	19	10	11	6	23	15	21	26	19	13	9
miR-1227	3	5	2	8	4	1	2	6	2	3	1	4	3	5	2
miR-1228-3p	16	15	4	13	10	10	9	9	15	17	9	7	2	10	4
miR-1229	7	8	3	2	4	4	2	2	2	4	5	7	2	5	2
miR-1231	6	6	3	3	3	6	2	5	5	6	3	5	2	5	3
miR-1233	9	24	7	14	29	9	11	13	6	16	6	12	10	20	14
miR-1234	8	16	9	8	8	6	5	4	12	10	5	6	8	9	2
miR-1236	3	3	2	3	2	4	6	7	5	5	2	3	1	4	4
miR-1237	2	3	4	2	6	2	3	4	1	3	4	2	2	5	5
miR-1238	9	13	10	8	10	9	13	6	5	8	6	3	7	19	5
miR-124-3p	6074	10	3	9364	3	7066	9	10	22998	5684	17478	13169	4909	2893	9
miR-1243	7	17	5	8	16	5	2	7	6	8	6	18	4	3	1
miR-1244	5	8	5	6	7	8	5	5	8	10	6	4	3	4	4
miR-1245a	4	10	4	8	9	3	7	7	4	5	6	8	4	7	3
miR-1245b-3p	8	7	4	5	3	6	6	8	4	10	1	4	6	9	5
miR-1245b-5p	5	4	6	4	9	6	6	5	6	5	1	3	7	7	8
miR-1246	244	401	74	129	348	165	72	332	63	254	80	48	131	213	23
miR-1247-5p	74	86	19	49	59	33	18	74	9	71	17	25	38	45	7
miR-1248	7	10	5	11	6	5	13	1	6	10	3	7	10	9	4
