Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-3p	4	10	2	8	14	NA	3	2	2	6	8	4	4	3	13
let-7a-5p	1742	2043	1425	3120	3150	2202	1344	950	2827	2438	7357	5599	2076	1255	5014
let-7b-3p	1	5	6	7	6	4	3	NA	5	6	15	6	6	5	13
let-7b-5p	388	177	275	935	327	702	259	84	1008	579	2564	1607	608	327	1009
let-7c-5p	427	212	298	984	373	763	286	104	1086	624	2716	1741	658	352	1065
let-7d-3p	9	1	4	21	3	14	3	1	33	13	57	33	13	9	17
let-7d-5p	37	16	27	71	34	64	25	8	83	38	202	151	68	22	81
let-7e-3p	2	NA	NA	4	2	NA	NA	1	NA	1	3	1	NA	NA	1
let-7e-5p	1187	1584	752	2149	2396	1509	730	734	1899	1663	4940	3680	1368	858	2531
let-7f-2-3p	1	NA	NA	1	1	1	3	3	NA	NA	1	1	1	1	5
let-7f-5p	427	384	612	747	608	498	531	174	663	598	1781	1473	526	312	2280
let-7g-5p	331	336	331	591	526	461	292	158	588	538	1657	1272	447	264	1248
let-7i-5p	329	337	327	590	523	458	293	158	581	535	1641	1269	448	263	1241
miR-100-5p	1051	1931	370	1077	3572	496	191	694	222	711	674	336	273	214	505
miR-101-3p	45	43	23	42	93	31	24	32	28	42	76	46	32	22	80
miR-101-5p	1	NA	NA	5	4	1	1	NA	1	3	3	3	3	1	NA
miR-106a-5p	11	22	24	8	47	10	17	11	5	21	15	5	6	10	85
miR-106b-3p	4	7	3	6	7	4	NA	5	2	6	7	4	4	5	8
miR-106b-5p	9	24	3	11	27	6	4	20	6	9	4	5	4	9	12
miR-10a-5p	579	1469	1017	574	3148	393	837	711	28	1263	64	46	334	445	4589
miR-10b-5p	580	1468	1002	574	3149	388	830	711	28	1259	63	46	332	446	4548
miR-1180-3p	2	1	NA	2	3	2	NA	NA	5	1	19	11	1	1	1
miR-1185-1-3p	1	1	NA	NA	4	NA	NA	1	NA	1	3	1	NA	NA	NA
miR-1185-2-3p	1	1	NA	NA	4	NA	NA	1	NA	1	3	1	NA	NA	NA
miR-122-3p	2	NA	16	4	NA	1	13	NA	NA	2	NA	1	4	2	60
miR-122-5p	373	2	4623	728	5	546	4139	11	9	577	10	8	495	281	17502
miR-1225-3p	5	NA	1	14	NA	14	NA	NA	23	5	29	15	10	8	NA
miR-1225-5p	1	1	NA	1	NA	2	NA	NA	4	1	1	5	1	3	NA
miR-1227-3p	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1229-3p	1	NA	NA	NA	NA	NA	1	NA	2	NA	2	NA	NA	NA	NA
miR-1233-5p	1	1	5	2	1	4	6	1	1	4	1	3	1	8	1
miR-124-3p	53	NA	NA	106	2	78	NA	NA	109	61	220	138	55	32	NA
miR-1247-3p	1	2	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	NA	NA
miR-1247-5p	3	23	3	13	46	4	2	13	NA	21	1	1	7	10	8
miR-1248	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2
miR-1249	1	NA	1	2	1	5	NA	1	5	5	15	3	NA	1	2
miR-1253	2	NA	2	NA	NA	2	5	NA	NA	NA	NA	NA	NA	1	3
miR-1254	1	1	1	1	NA	2	NA	NA	2	1	2	3	3	NA	1
miR-125a-5p	954	1330	254	1642	2080	867	113	530	674	935	2513	1083	561	340	470
miR-125b-1-3p	4	2	NA	3	2	2	NA	3	NA	NA	6	4	3	2	3
miR-125b-2-3p	10	3	13	34	9	22	8	1	32	21	84	60	29	8	67
miR-125b-5p	251	185	172	547	323	298	110	85	353	349	1248	601	258	145	383
miR-126-3p	3	12	1	4	9	NA	2	8	NA	4	3	NA	1	3	9
miR-126-5p	301	755	229	294	1153	199	240	419	78	409	227	134	176	222	793
miR-1269a	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-1269b	1	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-127-3p	47	65	3	37	79	32	3	16	26	35	52	60	24	20	5
miR-1273a	2	NA	NA	1	NA	1	1	NA	11	NA	3	2	2	NA	1
miR-1273d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	1	1	NA
miR-1273e	10	7	NA	26	5	20	3	2	18	15	24	31	15	9	6
miR-1273g-3p	648	214	385	685	168	878	312	165	1137	281	924	986	600	457	192
miR-1273h-5p	4	NA	1	9	1	6	NA	NA	12	3	11	8	4	6	2
miR-1277-5p	2	1	3	NA	1	2	2	NA	1	2	3	2	2	3	4
miR-128-3p	133	4	5	299	8	178	2	3	302	160	917	489	215	78	26
miR-1283	68	145	NA	27	232	19	NA	81	NA	84	1	NA	24	50	NA
miR-1285-5p	3	NA	NA	4	NA	8	2	NA	10	1	7	5	4	NA	1
miR-1287-5p	1	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-129-1-3p	1	NA	NA	5	NA	5	NA	NA	12	3	24	16	5	2	NA
miR-129-2-3p	1	NA	NA	5	NA	5	NA	NA	12	3	24	16	5	2	NA
miR-129-5p	8	NA	NA	4	NA	14	1	NA	9	5	26	12	5	6	NA
miR-1303	2	NA	NA	2	1	5	NA	1	4	NA	10	3	3	2	1
miR-1306-5p	1	1	NA	1	NA	NA	NA	NA	1	3	1	1	NA	NA	NA
miR-1307-3p	2	2	NA	NA	5	NA	NA	NA	3	NA	NA	2	NA	NA	2
miR-1307-5p	7	13	3	11	15	3	6	6	3	11	16	10	5	4	22
miR-130b-5p	2	3	2	2	5	2	2	1	1	1	NA	1	NA	1	12
miR-1323	139	471	NA	94	779	54	NA	202	NA	236	1	2	71	110	1
miR-135a-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-135a-5p	7	11	1	8	30	6	NA	3	10	10	26	11	5	6	NA
miR-135b-5p	7	11	NA	8	30	6	NA	3	10	10	25	11	5	6	NA
miR-136-3p	10	41	NA	12	54	2	1	23	7	23	7	10	10	12	1
miR-136-5p	2	NA	NA	1	1	NA	NA	NA	NA	1	1	NA	NA	1	NA
miR-138-1-3p	1	NA	NA	2	NA	NA	NA	NA	NA	2	2	1	NA	NA	NA
miR-138-5p	4	NA	NA	12	5	8	NA	NA	17	7	26	14	7	5	NA
miR-139-5p	10	6	9	28	10	21	5	2	15	20	59	28	15	7	34
miR-140-3p	47	88	21	83	167	53	20	41	48	86	142	84	49	37	93
miR-140-5p	1	6	1	2	7	3	4	NA	4	2	5	12	4	1	8
miR-141-3p	2	12	NA	1	11	1	NA	8	NA	1	NA	NA	1	1	NA
miR-141-5p	6	20	1	6	32	2	NA	9	NA	5	1	NA	NA	4	1
miR-142-3p	5	24	7	8	42	6	7	12	3	21	2	1	3	6	41
miR-143-3p	19	43	1	8	51	8	7	20	4	18	8	4	9	8	12
miR-143-5p	2	11	2	7	16	2	3	3	NA	8	3	1	2	5	4
miR-144-5p	26	87	1	27	125	13	1	34	2	49	2	3	8	22	7
miR-145-3p	16	39	14	10	51	6	11	16	1	11	4	2	4	3	10
miR-145-5p	9	35	2	10	59	6	3	9	1	28	3	3	6	15	11
miR-148a-3p	553	502	2948	642	834	461	2682	215	30	1073	74	29	514	441	14156
miR-148b-3p	614	677	2958	709	1163	509	2708	308	54	1203	154	66	564	492	14302
miR-149-5p	67	104	1	93	187	54	2	54	57	116	198	108	83	55	3
miR-151a-3p	2	NA	1	1	1	1	1	1	NA	NA	2	NA	1	NA	2
miR-151a-5p	146	177	116	241	250	167	86	97	163	144	489	261	136	83	321
miR-152-3p	62	179	53	76	336	52	54	96	24	140	80	38	55	55	275
miR-154-5p	4	11	NA	3	17	NA	NA	3	2	4	2	3	6	2	1
miR-15a-5p	43	60	33	41	79	27	29	41	32	42	76	48	25	30	87
miR-15b-5p	42	61	33	39	79	27	28	41	32	42	76	48	24	30	86
miR-16-5p	366	781	220	470	1323	298	241	402	246	564	622	376	288	263	985
miR-17-5p	34	70	50	30	121	28	60	39	15	47	36	16	19	30	207
miR-181a-2-3p	14	25	4	24	28	6	3	15	12	22	23	17	8	11	16
miR-181a-3p	14	33	NA	26	34	17	2	20	25	26	53	28	16	10	4
miR-181a-5p	3016	4762	313	6086	7959	4073	311	2305	4665	5270	14514	6893	3920	2303	1246
miR-181b-3p	2	NA	NA	2	NA	2	NA	1	3	2	3	NA	2	2	NA
miR-181b-5p	3157	4857	331	6423	8149	4313	324	2352	4988	5558	15477	7447	4181	2453	1324
miR-181c-3p	14	33	NA	24	34	17	2	20	25	26	52	28	15	10	4
miR-181c-5p	73	49	7	187	96	119	7	33	180	135	540	264	120	63	30
miR-181d-5p	160	143	22	379	243	268	13	65	369	339	1119	631	294	170	92
miR-183-5p	4	12	2	6	26	4	2	6	NA	8	NA	NA	2	4	1
miR-185-5p	2	3	1	5	8	1	1	2	NA	1	5	7	1	1	9
miR-186-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
miR-186-5p	33	70	22	42	136	28	30	25	9	49	49	19	15	26	94
miR-18a-5p	1	3	NA	NA	10	2	NA	2	NA	3	1	NA	NA	2	3
miR-18b-5p	1	3	NA	NA	10	1	1	2	NA	3	1	NA	NA	2	3
miR-190a-5p	2	2	NA	4	4	5	NA	NA	6	2	23	14	5	1	1
miR-190b	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-191-5p	1	3	NA	1	2	1	NA	2	2	2	1	NA	NA	NA	1
miR-1914-5p	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
miR-192-5p	491	85	3003	656	152	452	2789	52	54	679	142	53	424	362	12110
miR-193a-3p	54	109	24	35	240	18	25	68	2	89	11	7	20	47	117
